Hechos Intradia,,,,,,
,,,,,,
"Razon Social: PLA ADMINISTRADORA INDUSTRIAL, S. DE R.L. DE C.V. (FIBRA TERRA)",,,,,,
Ticker: TERRA,,,,,,
Serie: 13,,,,,,
Fecha Inicial: 8/11/2014,,,,,,
Fecha Final: 8/15/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,3226,29.86,96328.36
8/11/2014,12:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,2500,29.86,74650
